GEOID,Total_Population
01001020100,1840
01001020200,2017
01001020300,3515
01001020400,3913
01001020501,4053
01001020502,3514
01001020503,3493
01001020600,3658
01001020700,2815
01001020801,3431
01001020803,4540
01001020804,5752
01001020805,2891
01001020901,3357
01001020902,3195
01001021000,2820
01001021100,4481
01003010100,3607
01003010200,3028
01003010300,8561
01003010400,6181
01003010500,4875
01003010600,3801
01003010704,5100
01003010706,3836
01003010707,5905
01003010708,13352
01003010709,11534
01003010710,6673
01003010711,4041
01003010800,7077
01003010903,8159
01003010904,7473
01003010906,4818
01003010907,4539
01003010908,5849
01003011000,5934
01003011102,5879
01003011103,3526
01003011104,8046
01003011201,4644
01003011202,6418
01003011300,5427
01003011409,5569
01003011410,8627
01003011411,6367
01003011412,3488
01003011413,4109
01003011414,3494
01003011415,1887
01003011416,1863
01003011417,2360
01003011418,1925
01003011419,5308
01003011501,8503
01003011503,7951
01003011504,7028
01003011601,6239
01003011603,3589
01003011604,3355
01003990000,0
01005950100,2694
01005950200,3619
01005950300,1560
01005950400,4008
01005950500,2626
01005950600,1775
01005950700,1776
01005950800,2166
01005950900,4533
01007010001,2721
01007010005,4798
01007010006,1819
01007010007,2422
01007010008,2328
01007010009,2587
01007010010,2470
01007010011,3007
01009050103,2140
01009050104,2915
01009050105,4766
01009050106,2854
01009050107,2373
01009050200,4472
01009050301,3192
01009050302,2722
01009050400,4477
01009050501,3871
01009050502,3707
01009050601,3975
01009050603,4004
01009050604,5497
01009050701,5630
01009050702,2697
01011952100,1618
01011952201,2417
01011952202,3998
01011952500,2124
01013952700,2329
01013952800,1409
01013952900,1860
01013953000,954
01013953100,2674
01013953200,3679
01013953300,1801
01013953400,2564
01013953500,1537
01015000200,2477
01015000300,2448
01015000400,2637
01015000500,1050
01015000600,1780
01015000700,2919
01015000800,1554
01015000900,3416
01015001000,5452
01015001101,2061
01015001102,1306
01015001103,4074
01015001201,3193
01015001202,4490
01015001300,2124
01015001400,3193
01015001501,3055
01015001502,1924
01015001600,3477
01015001700,6326
01015001801,2200
01015001802,4588
01015002001,2686
01015002002,4726
01015002101,4388
01015002102,3879
01015002104,4033
01015002105,3046
01015002200,3673
01015002300,3775
01015002400,4262
01015002502,4265
01015002503,3435
01015002504,3408
01015002600,4821
01015981901,0
01015981902,0
01015981903,0
01017953800,3544
01017953900,3200
01017954001,2226
01017954002,3987
01017954200,3760
01017954300,5074
01017954600,3626
01017954700,4359
01017954800,4674
01019955701,3168
01019955702,3904
01019955801,2157
01019955802,3357
01019955900,4060
01019956000,4474
01019956101,1634
01019956102,2470
01021060101,4800
01021060103,3529
01021060104,3208
01021060200,3442
01021060300,3600
01021060401,5570
01021060403,4118
01021060404,5036
01021060500,3565
01021060600,3550
01021060701,2195
01021060702,2887
01023956700,2527
01023956800,4557
01023956900,3299
01023957000,2142
01025957500,1716
01025957601,935
01025957603,2033
01025957604,2133
01025957700,1226
01025957800,4736
01025957901,3384
01025957902,3672
01025958003,2967
01027958900,5374
01027959000,3267
01027959100,3048
01027959200,2499
01029959500,2778
01029959600,4363
01029959700,3392
01029959800,4721
01031010100,2076
01031010200,1800
01031010300,4516
01031010400,1714
01031010500,4843
01031010600,1594
01031010700,2471
01031010800,3602
01031010900,2942
01031011000,4112
01031011100,2587
01031011203,5703
01031011204,3839
01031011205,3419
01031011206,4650
01031011300,4363
01033020100,3635
01033020200,1886
01033020300,2095
01033020400,1731
01033020500,5735
01033020600,5027
01033020703,6527
01033020704,4317
01033020705,1230
01033020706,5673
01033020801,4359
01033020802,3157
01033020901,4435
01033020902,3894
01033021000,3947
01035960200,1351
01035960300,1683
01035960400,2628
01035960500,1659
01035960600,4090
01037961000,3337
01037961100,3294
01037961200,3692
01039961600,4846
01039961700,3371
01039961800,3076
01039961900,2388
01039962000,3964
01039962100,1660
01039962300,3147
01039962400,3274
01039962500,1527
01039962600,1566
01039962700,1766
01039962800,1485
01039962900,2206
01039963000,3371
01041963400,2155
01041963500,1899
01041963600,2852
01041963700,3377
01041963800,1335
01041963900,1526
01043964100,6458
01043964201,4171
01043964202,4140
01043964300,5046
01043964400,4051
01043964500,5023
01043964600,4122
01043964700,5567
01043964800,4525
01043964901,3885
01043964902,3435
01043965001,3569
01043965002,4710
01043965100,4157
01043965200,2339
01043965300,4852
01043965401,3179
01043965402,4693
01043965501,1888
01043965502,4128
01043965600,2865
01043965700,2660
01045020000,5221
01045020100,3869
01045020200,2232
01045020300,2493
01045020400,2386
01045020500,1711
01045020700,3322
01045020801,3104
01045020802,4198
01045021101,4071
01045021102,3979
01045021200,2556
01045021300,4853
01045021400,5521
01047956101,3114
01047956102,2977
01047956201,1927
01047956202,2518
01047956300,4494
01047956400,2202
01047956500,1970
01047956600,2216
01047956701,2023
01047956702,1809
01047956800,2516
01047956900,2408
01047957000,1074
01047957100,1427
01047957200,1468
01047957301,2447
01047957302,946
01049960101,2010
01049960102,3737
01049960200,3783
01049960301,875
01049960302,1395
01049960303,4500
01049960401,1372
01049960402,5606
01049960500,6103
01049960601,1268
01049960602,4525
01049960701,2477
01049960702,1648
01049960703,4809
01049960800,4185
01049960900,3849
01049961000,5103
01049961100,2713
01049961200,2352
01049961300,5928
01049961400,3708
01051030101,3704
01051030102,2028
01051030103,4890
01051030200,5337
01051030300,2840
01051030401,3906
01051030402,4200
01051030500,5129
01051030600,7431
01051030701,8583
01051030702,3616
01051030801,2583
01051030802,4204
01051030901,7202
01051030902,4455
01051031001,4263
01051031002,3680
01051031100,4307
01051031200,1515
01051031300,4796
01053969801,1096
01053969802,4776
01053969900,4259
01053970100,4593
01053970200,1491
01053970300,3590
01053970400,5054
01053970500,4900
01053970600,3402
01053970700,3534
01055000200,3275
01055000300,2602
01055000400,3862
01055000500,1767
01055000600,2179
01055000700,1103
01055000800,1064
01055000900,2746
01055001000,1068
01055001100,5116
01055001200,2677
01055001300,2138
01055001600,3147
01055001700,1458
01055010100,2098
01055010201,2532
01055010202,2743
01055010300,2794
01055010401,4266
01055010402,5338
01055010503,4424
01055010504,4773
01055010505,2501
01055010506,2473
01055010601,5853
01055010602,3810
01055010700,3910
01055010800,2639
01055010900,1972
01055011001,4272
01055011002,5278
01055011100,4926
01055011200,2404
01057020000,1282
01057020100,3234
01057020200,4060
01057020300,4175
01057020400,3422
01059972900,4024
01059973000,5413
01059973100,2259
01059973200,4372
01059973300,2974
01059973400,2425
01059973500,2692
01059973600,1458
01059973701,1823
01059973702,1010
01059973703,3528
01061050100,4597
01061050200,1725
01061050300,5629
01061050400,5450
01061050500,5045
01061050600,4280
01063060000,1573
01063060101,1602
01063060102,2222
01063060200,2192
01065040000,4327
01065040100,1281
01065040200,1375
01065040300,2135
01065040401,2357
01065040402,1799
01065040500,1475
01067030100,1605
01067030200,2976
01067030300,2907
01067030400,1790
01067030500,6389
01067030600,1783
01069040100,5967
01069040203,2945
01069040204,6537
01069040205,5808
01069040206,4135
01069040301,3740
01069040302,4092
01069040400,2556
01069040500,3591
01069040600,1815
01069040700,2789
01069040801,5448
01069040802,3933
01069040900,5420
01069041000,5077
01069041100,3909
01069041200,2326
01069041400,3073
01069041500,3900
01069041600,5281
01069041700,1274
01069041800,2228
01069041901,3047
01069041902,4821
01069042000,5391
01069042100,8525
01071950101,3077
01071950102,3234
01071950200,3285
01071950301,2798
01071950302,3091
01071950400,2097
01071950500,3680
01071950601,3767
01071950602,2632
01071950700,4206
01071950800,3906
01071950901,1934
01071950902,4294
01071951000,4046
01071951101,4420
01071951102,2372
01073000100,2624
01073000300,1316
01073000400,3209
01073000500,3025
01073000700,2300
01073000800,2663
01073001100,4605
01073001200,2213
01073001400,1959
01073001500,1984
01073001600,2486
01073001902,1407
01073002000,3729
01073002100,2472
01073002200,2187
01073002303,2422
01073002305,3203
01073002306,3931
01073002401,2419
01073002402,1365
01073002701,1431
01073002702,1913
01073002900,1661
01073003001,3408
01073003002,2334
01073003100,3264
01073003200,1028
01073003300,1673
01073003400,1989
01073003500,2640
01073003600,4388
01073003700,4521
01073003802,4998
01073003803,3649
01073003900,1099
01073004000,2907
01073004200,1457
01073004501,3264
01073004502,3369
01073004701,3280
01073004702,3140
01073004800,1859
01073004901,1117
01073004902,3043
01073005000,3477
01073005101,861
01073005103,3285
01073005104,2934
01073005200,3623
01073005302,3308
01073005500,1485
01073005600,4460
01073005701,1553
01073005702,2699
01073005800,3681
01073005903,5295
01073005905,7241
01073005907,2876
01073005908,3045
01073005909,2432
01073005910,4968
01073010001,5265
01073010002,5790
01073010100,1312
01073010200,2828
01073010301,2622
01073010302,4489
01073010401,4036
01073010402,2416
01073010500,1482
01073010603,1847
01073010604,5163
01073010605,603
01073010701,1798
01073010702,5923
01073010703,2273
01073010704,6446
01073010705,4181
01073010706,4351
01073010801,7562
01073010802,4288
01073010803,6223
01073010804,3042
01073010806,5913
01073010807,1389
01073010900,4669
01073011002,1814
01073011003,2038
01073011004,3069
01073011108,4954
01073011109,5132
01073011110,6059
01073011112,4084
01073011113,2999
01073011114,7302
01073011115,5253
01073011116,2505
01073011117,5228
01073011205,1943
01073011206,6320
01073011207,5356
01073011208,4630
01073011209,2670
01073011210,3401
01073011301,3644
01073011303,3812
01073011304,3741
01073011401,2566
01073011402,4373
01073011500,6038
01073011600,3751
01073011704,4239
01073011706,1868
01073011707,3346
01073011708,5799
01073011709,4993
01073011710,3225
01073011803,3889
01073011804,3293
01073011805,3994
01073011806,4179
01073011901,2410
01073011904,1863
01073012001,3694
01073012003,1865
01073012004,5631
01073012103,4614
01073012104,2140
01073012200,3426
01073012302,4140
01073012304,2584
01073012306,3600
01073012307,3765
01073012401,3639
01073012402,2644
01073012403,4520
01073012500,3873
01073012602,2845
01073012701,4608
01073012703,6727
01073012704,3097
01073012802,2615
01073012804,2699
01073012805,1797
01073012905,7383
01073012907,4646
01073012908,4842
01073012910,4267
01073012911,5429
01073012913,5130
01073012914,1955
01073012916,3556
01073012917,2971
01073012918,2650
01073012919,2335
01073012920,3769
01073012921,3265
01073013002,1994
01073013100,4070
01073013200,2640
01073013300,3318
01073013400,4219
01073013601,3401
01073013801,1670
01073013901,1505
01073013902,2184
01073014001,3937
01073014002,3468
01073014104,3951
01073014105,4888
01073014106,3288
01073014107,1941
01073014205,3441
01073014206,5773
01073014207,6034
01073014208,6421
01073014209,4808
01073014301,2950
01073014303,5817
01073014304,4107
01073014404,6075
01073014405,4067
01073014406,5703
01073014408,3887
01073014409,2918
01073014410,4728
01073014412,4767
01073014414,6387
01073014415,4801
01075030000,4085
01075030101,2883
01075030102,2385
01075030200,4456
01077010100,2101
01077010200,1936
01077010300,1179
01077010400,3580
01077010600,2426
01077010700,1426
01077010800,3561
01077010901,3934
01077010902,4238
01077011000,4769
01077011101,6326
01077011102,4192
01077011200,3889
01077011300,1981
01077011401,2842
01077011402,3487
01077011502,4969
01077011503,3000
01077011504,4719
01077011602,4170
01077011603,5340
01077011605,2871
01077011606,4379
01077011700,5001
01077011801,4648
01077011802,4073
01079979100,1675
01079979201,1816
01079979202,2344
01079979300,4614
01079979400,4782
01079979501,2361
01079979502,3311
01079979600,4681
01079979700,2180
01079979800,3670
01079979900,1748
01081040201,4224
01081040202,2831
01081040300,3132
01081040401,2493
01081040402,2854
01081040403,2225
01081040501,7706
01081040502,5712
01081040602,8726
01081040603,1678
01081040605,1425
01081040606,2349
01081040607,1321
01081040700,6583
01081040801,2210
01081040802,1239
01081040901,4215
01081040903,1523
01081040904,4698
01081041001,7439
01081041002,4484
01081041101,2323
01081041102,3396
01081041103,1764
01081041104,3534
01081041200,5642
01081041300,2958
01081041400,3419
01081041600,3608
01081041701,2737
01081041702,3627
01081041703,5633
01081041801,2275
01081041802,2302
01081041803,2920
01081041901,2408
01081041902,3296
01081041903,3646
01081042002,8698
01081042003,3938
01081042005,4376
01081042006,1961
01081042007,3467
01081042008,5557
01081042009,2228
01081042101,3992
01081042103,2429
01081042104,6462
01083020101,4551
01083020103,2981
01083020104,4052
01083020201,4414
01083020202,5900
01083020300,3673
01083020402,5719
01083020403,3576
01083020404,2952
01083020500,3045
01083020600,4648
01083020700,2575
01083020803,6824
01083020804,5622
01083020805,5645
01083020806,4008
01083020900,4097
01083021000,2748
01083021101,3890
01083021102,4489
01083021201,9338
01083021202,6665
01083021203,6165
01085780800,3273
01085781000,2649
01085781100,1577
01085781200,2509
01087231400,1083
01087231500,2399
01087231601,1209
01087231602,1425
01087231603,1208
01087231700,2802
01087231800,1230
01087231900,1717
01087232000,897
01087232100,1431
01087232200,2136
01087232300,1414
01089000203,6333
01089000301,3915
01089000302,4326
01089000403,5591
01089000501,2459
01089000502,1822
01089000503,1982
01089000601,1647
01089000602,2086
01089000701,3103
01089000702,2955
01089000901,4342
01089000902,2395
01089001000,2923
01089001200,3642
01089001301,3659
01089001302,2409
01089001401,2681
01089001403,2900
01089001404,3381
01089001500,6172
01089001700,1937
01089001801,3650
01089001901,3499
01089001902,2202
01089001903,2238
01089002000,2201
01089002100,2445
01089002200,1935
01089002300,5034
01089002400,3988
01089002501,3196
01089002502,3512
01089002600,3986
01089002701,2854
01089002721,4265
01089002722,2941
01089002801,4595
01089002803,4976
01089002804,2949
01089002911,4539
01089002912,2313
01089002922,4129
01089002923,3019
01089002924,3662
01089003000,2964
01089003100,4811
01089010101,5166
01089010102,6198
01089010200,6144
01089010302,4940
01089010303,3997
01089010304,4939
01089010403,2671
01089010404,2919
01089010405,3824
01089010406,3021
01089010502,4978
01089010503,6216
01089010504,7368
01089010612,8211
01089010623,7378
01089010625,5083
01089010626,4011
01089010627,4894
01089010628,3789
01089010629,5234
01089010630,3216
01089010631,5271
01089010703,6159
01089010704,6244
01089010705,4286
01089010706,4326
01089010801,6204
01089010802,4984
01089010902,2452
01089010903,6580
01089010904,3790
01089010905,7994
01089011012,5743
01089011013,4614
01089011021,4635
01089011023,6733
01089011024,5638
01089011025,6671
01089011026,3882
01089011027,3236
01089011028,4430
01089011100,1116
01089011201,4904
01089011202,5660
01089011203,5792
01089011301,3730
01089011302,5242
01089011400,4059
01091972901,1595
01091972902,4002
01091973001,907
01091973002,2457
01091973100,1765
01091973200,2190
01091973300,1800
01091973400,4311
01093964001,3371
01093964002,1040
01093964100,2716
01093964200,1281
01093964300,4284
01093964401,3725
01093964402,2047
01093964500,1987
01093964600,3158
01093964701,2244
01093964702,3337
01095030101,1785
01095030102,1205
01095030203,3964
01095030204,1619
01095030205,1287
01095030206,3852
01095030301,2516
01095030302,4249
01095030401,5014
01095030402,3128
01095030501,2474
01095030502,5190
01095030601,2463
01095030602,4681
01095030701,3272
01095030702,3977
01095030801,5220
01095030803,2841
01095030804,5973
01095030902,5502
01095030903,4959
01095030904,6094
01095031001,3617
01095031002,3392
01095031100,4712
01095031200,5726
01097000200,1106
01097000401,1374
01097000402,861
01097000500,1291
01097000600,1452
01097000701,1725
01097000702,2366
01097000801,3215
01097000802,1038
01097000901,1437
01097000902,1843
01097000903,1583
01097001001,1322
01097001002,1495
01097001100,2153
01097001200,2318
01097001302,2421
01097001400,2242
01097001501,751
01097001502,886
