ZIP Code,Average Elevation
47236,219.69745
47870,145.7981
47851,165.34471
47337,316.81973
47435,201.24072
47514,185.589
46045,276.7014
46206,214.1385
46704,255.86577
47585,158.27669
46534,214.1426
46127,312.82855
47660,141.63701
47597,140.64066
47424,190.18968
47519,161.58235
46235,258.46622
46118,248.5772
46224,227.86916
46256,248.79977
47948,216.24406
47951,204.32777
46254,244.65143
46077,274.7481
47575,171.93188
46910,259.49564
47432,196.64453
46120,235.05627
47841,171.30466
46552,232.08493
47633,132.44986
47631,131.03893
47620,116.698685
47616,116.88477
46759,265.00186
47438,172.33629
46731,256.67126
47404,232.10399
46970,225.66805
47584,149.81683
46761,285.29562
46571,278.03534
47283,243.00267
46750,245.9347
46590,258.19672
46368,189.47542
47371,286.55997
47421,191.72441
46143,237.51997
47234,226.97392
47380,301.83786
46071,261.28897
47138,211.11394
46510,268.37714
47336,282.0756
47227,201.38818
47170,186.48819
47282,197.91061
47959,205.98045
46130,249.55745
47982,218.5442
47320,288.04547
47991,213.99998
47038,193.52315
47374,318.8071
46920,226.1212
46985,215.63567
47994,229.37924
47955,240.93147
47957,211.7201
47172,153.12549
40291,195.06271
42081,131.30037
42003,112.51466
40509,297.1042
40071,197.44002
41005,230.89911
40215,140.6983
41169,188.96811
41063,227.00732
40025,157.48398
40511,281.74838
42701,229.14775
40502,306.98407
42301,121.96681
42049,161.0111
40003,253.71701
40212,136.71858
42171,196.05296
42370,168.29732
41049,246.51613
40336,266.5409
41006,217.90956
42603,294.08008
42347,141.7978
42079,153.37889
42088,142.41734
40374,273.17493
42170,192.1018
40769,366.42715
41179,276.06335
41040,225.17323
42743,215.37639
40468,280.08624
42518,292.60367
42273,140.46524
42038,139.7416
40902,510.54004
41603,301.11484
42411,147.8472
41640,371.7769
41095,195.52963
41086,221.60674
41553,468.19427
41311,289.38406
41003,230.59209
42437,127.90002
42206,198.98463
42653,347.15543
42408,145.58632
41659,328.95868
41256,263.2443
41840,482.80695
42265,178.7274
42254,166.36037
41568,406.60492
41539,448.60663
41425,300.4994
40040,252.27425
40440,342.54617
40915,364.48166
42441,128.50702
42324,150.93561
41124,265.53116
41201,239.65965
40949,331.50888
41621,252.08466
41725,413.01944
41535,362.76758
40346,302.84775
41714,389.36264
41548,412.83603
46385,218.20253
47838,150.79747
46301,182.7519
47129,138.81303
46550,258.8418
47989,232.84541
46030,261.76138
46034,259.6127
47117,215.14337
46992,238.89
47142,180.87894
46946,236.8136
47110,198.41812
46057,267.04916
46049,278.5151
47520,162.0344
46570,238.92145
46911,245.99089
46793,282.66016
46320,180.71611
47807,149.71085
46808,244.56943
47203,202.37895
46933,261.53033
46938,263.5496
46536,258.80606
47713,112.711395
46615,221.92885
46613,222.4293
46809,238.8629
46748,257.78372
46816,242.4934
46225,213.89894
46186,294.1208
47338,279.73315
46501,249.57883
46742,286.60583
47863,192.36522
47941,204.04037
46989,272.8479
46705,298.60364
46556,219.66422
46930,268.25134
47930,246.43242
47021,192.43913
47875,182.76097
46170,201.4703
46980,248.0195
46779,300.8722
46794,277.0224
46760,280.3149
